char,tex,pos,size,pos_off,pos_add,offset
播,0,"(30, 105)","(15, 15)","(14, 14)","(0, 0)",20
收,0,"(45, 105)","(15, 15)","(14, 14)","(0, 0)",20
攻,0,"(60, 105)","(15, 15)","(14, 14)","(0, 0)",20
放,0,"(75, 105)","(15, 15)","(14, 14)","(0, 0)",20
数,0,"(90, 105)","(15, 15)","(14, 14)","(0, 0)",20
文,0,"(105, 105)","(15, 15)","(14, 14)","(0, 0)",20
断,0,"(120, 105)","(15, 15)","(14, 14)","(0, 0)",20
斯,0,"(135, 105)","(15, 15)","(14, 14)","(0, 0)",20
新,0,"(150, 105)","(15, 15)","(14, 14)","(0, 0)",20
旋,0,"(165, 105)","(15, 15)","(14, 14)","(0, 0)",20
无,0,"(180, 105)","(15, 15)","(14, 14)","(0, 0)",20
日,0,"(195, 105)","(15, 15)","(14, 14)","(0, 0)",20
旦,0,"(210, 105)","(15, 15)","(14, 14)","(0, 0)",20
时,0,"(225, 105)","(15, 15)","(14, 14)","(0, 0)",20
是,0,"(240, 105)","(15, 15)","(14, 14)","(0, 0)",20
显,0,"(255, 105)","(15, 15)","(14, 14)","(0, 0)",20
替,0,"(270, 105)","(15, 15)","(14, 14)","(0, 0)",20
最,0,"(285, 105)","(15, 15)","(14, 14)","(0, 0)",20
有,0,"(300, 105)","(15, 15)","(14, 14)","(0, 0)",20
未,0,"(315, 105)","(15, 15)","(14, 14)","(0, 0)",20
本,0,"(330, 105)","(15, 15)","(14, 14)","(0, 0)",20
机,0,"(345, 105)","(15, 15)","(14, 14)","(0, 0)",20
束,0,"(360, 105)","(15, 15)","(14, 14)","(0, 0)",20
查,0,"(375, 105)","(15, 15)","(14, 14)","(0, 0)",20
标,0,"(390, 105)","(15, 15)","(14, 14)","(0, 0)",20
档,0,"(405, 105)","(15, 15)","(14, 14)","(0, 0)",20
次,0,"(420, 105)","(15, 15)","(14, 14)","(0, 0)",20
止,0,"(435, 105)","(15, 15)","(14, 14)","(0, 0)",20
正,0,"(450, 105)","(15, 15)","(14, 14)","(0, 0)",20
此,0,"(465, 105)","(15, 15)","(14, 14)","(0, 0)",20
步,0,"(480, 105)","(15, 15)","(14, 14)","(0, 0)",20
毕,0,"(495, 105)","(15, 15)","(14, 14)","(0, 0)",20
沙,0,"(0, 120)","(15, 15)","(14, 14)","(0, 0)",20
没,0,"(15, 120)","(15, 15)","(14, 14)","(0, 0)",20
法,0,"(30, 120)","(15, 15)","(14, 14)","(0, 0)",20
洛,0,"(45, 120)","(15, 15)","(14, 14)","(0, 0)",20
消,0,"(60, 120)","(15, 15)","(14, 14)","(0, 0)",20
游,0,"(75, 120)","(15, 15)","(14, 14)","(0, 0)",20
源,0,"(90, 120)","(15, 15)","(14, 14)","(0, 0)",20
点,0,"(105, 120)","(15, 15)","(14, 14)","(0, 0)",20
版,0,"(120, 120)","(15, 15)","(14, 14)","(0, 0)",20
物,0,"(135, 120)","(15, 15)","(14, 14)","(0, 0)",20
状,0,"(150, 120)","(15, 15)","(14, 14)","(0, 0)",20
环,0,"(165, 120)","(15, 15)","(14, 14)","(0, 0)",20
现,0,"(180, 120)","(15, 15)","(14, 14)","(0, 0)",20
理,0,"(195, 120)","(15, 15)","(14, 14)","(0, 0)",20
琴,0,"(210, 120)","(15, 15)","(14, 14)","(0, 0)",20
生,0,"(225, 120)","(15, 15)","(14, 14)","(0, 0)",20
用,0,"(240, 120)","(15, 15)","(14, 14)","(0, 0)",20
由,0,"(255, 120)","(15, 15)","(14, 14)","(0, 0)",20
电,0,"(270, 120)","(15, 15)","(14, 14)","(0, 0)",20
画,0,"(285, 120)","(15, 15)","(14, 14)","(0, 0)",20
登,0,"(300, 120)","(15, 15)","(14, 14)","(0, 0)",20
的,0,"(315, 120)","(15, 15)","(14, 14)","(0, 0)",20
监,0,"(330, 120)","(15, 15)","(14, 14)","(0, 0)",20
盖,0,"(345, 120)","(15, 15)","(14, 14)","(0, 0)",20
目,0,"(360, 120)","(15, 15)","(14, 14)","(0, 0)",20
盾,0,"(375, 120)","(15, 15)","(14, 14)","(0, 0)",20
看,0,"(390, 120)","(15, 15)","(14, 14)","(0, 0)",20
矛,0,"(405, 120)","(15, 15)","(14, 14)","(0, 0)",20
知,0,"(420, 120)","(15, 15)","(14, 14)","(0, 0)",20
码,0,"(435, 120)","(15, 15)","(14, 14)","(0, 0)",20
破,0,"(450, 120)","(15, 15)","(14, 14)","(0, 0)",20
确,0,"(465, 120)","(15, 15)","(14, 14)","(0, 0)",20
示,0,"(480, 120)","(15, 15)","(14, 14)","(0, 0)",20
票,0,"(495, 120)","(15, 15)","(14, 14)","(0, 0)",20
禁,0,"(0, 135)","(15, 15)","(14, 14)","(0, 0)",20
福,0,"(15, 135)","(15, 15)","(14, 14)","(0, 0)",20
离,0,"(30, 135)","(15, 15)","(14, 14)","(0, 0)",20
移,0,"(45, 135)","(15, 15)","(14, 14)","(0, 0)",20
究,0,"(60, 135)","(15, 15)","(14, 14)","(0, 0)",20
空,0,"(75, 135)","(15, 15)","(14, 14)","(0, 0)",20
穿,0,"(90, 135)","(15, 15)","(14, 14)","(0, 0)",20
章,0,"(105, 135)","(15, 15)","(14, 14)","(0, 0)",20
篇,0,"(120, 135)","(15, 15)","(14, 14)","(0, 0)",20
系,0,"(135, 135)","(15, 15)","(14, 14)","(0, 0)",20
约,0,"(150, 135)","(15, 15)","(14, 14)","(0, 0)",20
组,0,"(165, 135)","(15, 15)","(14, 14)","(0, 0)",20
细,0,"(180, 135)","(15, 15)","(14, 14)","(0, 0)",20
结,0,"(195, 135)","(15, 15)","(14, 14)","(0, 0)",20
络,0,"(210, 135)","(15, 15)","(14, 14)","(0, 0)",20
继,0,"(225, 135)","(15, 15)","(14, 14)","(0, 0)",20
续,0,"(240, 135)","(15, 15)","(14, 14)","(0, 0)",20
网,0,"(255, 135)","(15, 15)","(14, 14)","(0, 0)",20
置,0,"(270, 135)","(15, 15)","(14, 14)","(0, 0)",20
羽,0,"(285, 135)","(15, 15)","(14, 14)","(0, 0)",20
能,0,"(300, 135)","(15, 15)","(14, 14)","(0, 0)",20
节,0,"(315, 135)","(15, 15)","(14, 14)","(0, 0)",20
英,0,"(330, 135)","(15, 15)","(14, 14)","(0, 0)",20
获,0,"(345, 135)","(15, 15)","(14, 14)","(0, 0)",20
菜,0,"(360, 135)","(15, 15)","(14, 14)","(0, 0)",20
行,0,"(375, 135)","(15, 15)","(14, 14)","(0, 0)",20
被,0,"(390, 135)","(15, 15)","(14, 14)","(0, 0)",20
裁,0,"(405, 135)","(15, 15)","(14, 14)","(0, 0)",20
装,0,"(420, 135)","(15, 15)","(14, 14)","(0, 0)",20
要,0,"(435, 135)","(15, 15)","(14, 14)","(0, 0)",20
覆,0,"(450, 135)","(15, 15)","(14, 14)","(0, 0)",20
规,0,"(465, 135)","(15, 15)","(14, 14)","(0, 0)",20
视,0,"(480, 135)","(15, 15)","(14, 14)","(0, 0)",20
